RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         7850     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   32   33     0     0  con    0  1.0D+00  3.7D-01  1.956D-03  2.942D-01
   33   34     0     0  con    0  1.0D+00  7.3D-01  7.108D-03  2.928D-01
   34   35     0     0  con    0  1.0D+00  2.5D-01  2.139D-03  2.885D-01
   35   36     0     0  con    0  1.0D+00  4.9D-01  1.563D-03  2.856D-01
   36   37     0     0  con    0  1.0D+00  6.5D-01  2.091D-03  2.833D-01
   37   38     0     0  con    0  1.0D+00  7.1D-01  3.093D-03  2.803D-01
   38   39     0     0  con    0  1.0D+00  1.5D+00  6.861D-03  2.797D-01
   39   40     0     0  con    0  1.0D+00  3.0D-01  1.400D-03  2.760D-01
   40   41     0     0  con    0  1.0D+00  1.1D-01  1.357D-03  2.752D-01
   41   42     0     0  con    0  1.0D+00  3.0D-01  2.167D-03  2.733D-01
   42   43     0     0  con    0  1.0D+00  5.2D-01  2.291D-03  2.711D-01
   43   44     0     0  con    0  1.0D+00  1.0D+00  2.263D-03  2.690D-01
   44   45     0     0  con    0  1.0D+00  4.9D-01  1.304D-03  2.671D-01
   45   46     0     0  con    0  1.0D+00  5.3D-01  2.167D-03  2.654D-01
   46   47     0     0  con    0  1.0D+00  5.2D-01  3.062D-03  2.641D-01
   47   48     0     0  con    0  1.0D+00  4.7D-01  2.256D-03  2.623D-01
   48   49     0     0  con    0  1.0D+00  6.0D-01  1.106D-03  2.606D-01
   49   50     0     0  con    0  1.0D+00  4.1D-01  1.090D-03  2.596D-01
   50   51     0     0  con    0  1.0D+00  9.1D-01  3.550D-03  2.586D-01
   51   52     0     0  con    0  1.0D+00  1.8D-01  1.423D-03  2.571D-01
   52   53     0     0  con    0  1.0D+00  2.9D-01  1.291D-03  2.560D-01
   53   54     0     0  con    0  1.0D+00  4.5D-01  1.619D-03  2.549D-01
   54   55     0     0  con    0  1.0D+00  9.5D-01  5.430D-03  2.545D-01
   55   56     0     0  con    0  1.0D+00  1.7D-01  1.765D-03  2.527D-01
   56   57     0     0  con    0  1.0D+00  2.5D-01  1.165D-03  2.517D-01
   57   58     0     0  con    0  1.0D+00  5.6D-01  1.344D-03  2.505D-01
   58   59     0     0  con    0  1.0D+00  6.4D-01  2.290D-03  2.492D-01
   59   60     0     0  con    0  1.0D+00  1.5D+00  4.957D-03  2.488D-01
   60   61     0     0  con    0  1.0D+00  3.2D-01  9.043D-04  2.472D-01
   61   62     0     0  con    0  1.0D+00  8.1D-02  1.283D-03  2.468D-01
   62   63     0     0  con    0  1.0D+00  2.5D-01  1.479D-03  2.458D-01
   63   64     0     0  con    0  1.0D+00  6.3D-01  2.318D-03  2.446D-01
   64   65     0     0  con    0  1.0D+00  9.8D-01  1.396D-03  2.433D-01
   65   66     0     0  con    0  1.0D+00  3.9D-01  1.639D-03  2.426D-01
   66   67     0     0  con    0  1.0D+00  6.3D-01  1.219D-03  2.418D-01
   67   68     0     0  con    0  1.0D+00  2.6D-01  1.593D-03  2.411D-01
   68   69     0     0  con    0  1.0D+00  4.6D-01  1.862D-03  2.401D-01
   69   70     0     0  con    0  1.0D+00  8.8D-01  1.295D-03  2.387D-01
   70   71     0     0  con    0  1.0D+00  7.6D-01  2.212D-03  2.379D-01
   71   72     0     0  con    0  1.0D+00  3.3D-01  9.600D-04  2.371D-01
   72   73     0     0  con    0  1.0D+00  4.4D-01  1.096D-03  2.363D-01
   73   74     0     0  con    0  1.0D+00  4.3D-01  1.770D-03  2.356D-01
   74   75     0     0  con    0  1.0D+00  4.2D-01  7.188D-04  2.350D-01
   75   76     0     0  con    0  1.0D+00  3.3D-01  8.733D-04  2.343D-01
   76   77     0     0  con    0  1.0D+00  5.8D-01  1.063D-03  2.332D-01
   77   78     0     0  con    0  1.0D+00  7.1D-01  3.266D-03  2.327D-01
   78   79     0     0  con    0  1.0D+00  1.8D-01  9.100D-04  2.318D-01
   79   80     0     0  con    0  1.0D+00  1.1D-01  5.725D-04  2.313D-01
   80   81     0     0  con    0  1.0D+00  2.5D-01  1.256D-03  2.309D-01
   81   82     0     0  con    0  1.0D+00  3.7D-01  1.254D-03  2.304D-01
   82   83     0     0  con    0  1.0D+00  5.0D-01  9.208D-04  2.298D-01
   83   84     0     0  con    0  1.0D+00  7.2D-01  7.893D-04  2.290D-01
   84   85     0     0  con    0  1.0D+00  5.9D-01  3.428D-03  2.287D-01
   85   86     0     0  con    0  1.0D+00  1.2D-01  7.873D-04  2.280D-01
   86   87     0     0  con    0  1.0D+00  5.0D-02  7.364D-04  2.277D-01
   87   88     0     0  con    0  1.0D+00  1.9D-01  8.865D-04  2.273D-01
   88   89     0     0  con    0  1.0D+00  4.5D-01  1.917D-03  2.268D-01
   89   90     0     0  con    0  1.0D+00  3.9D-01  9.730D-04  2.262D-01
   90   91     0     0  con    0  1.0D+00  7.0D-01  8.150D-04  2.255D-01
   91   92     0     0  con    0  1.0D+00  4.1D-01  6.932D-04  2.251D-01
   92   93     0     0  con    0  1.0D+00  9.6D-01  1.688D-03  2.246D-01
   93   94     0     0  con    0  1.0D+00  2.8D-01  8.595D-04  2.241D-01
   94   95     0     0  con    0  1.0D+00  1.8D-01  8.758D-04  2.237D-01
   95   96     0     0  con    0  1.0D+00  4.2D-01  1.707D-03  2.233D-01
   96   97     0     0  con    0  1.0D+00  4.8D-01  5.673D-04  2.229D-01
   97   98     0     0  con    0  1.0D+00  4.2D-01  5.921D-04  2.225D-01
   98   99     0     0  con    0  1.0D+00  5.6D-01  1.025D-03  2.220D-01
   99  100     0     0  con    0  1.0D+00  7.7D-01  1.461D-03  2.216D-01
  100  101     0     0  con    0  1.0D+00  6.7D-02  5.342D-04  2.213D-01
  101  102     0     0  con    0  1.0D+00  1.8D-01  5.716D-04  2.208D-01
  102  103     0     0  con    0  1.0D+00  2.7D-01  7.152D-04  2.206D-01

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

